name,price,bookmark,happy,sad,food_type,location,Num_review,highlight,num_branch,num_seat,pay_list,other_facility,path,taste,decor,service,hygiene,value,overall
BLZ Restaurant (Cheong Yiu Mansion) 巴辣仔烤魚雞煲 (昌耀大廈),$101-200,1875,22,0,Sichuan,Tsuen Wan,35,0,8,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,Apple Pay,Google Pay,WeChat Pay,OpenRice Pay",Spot payment,"4-min walk from Exit B1, Tsuen Wan MTR Station",4,4,3,3,4,18
Old Fung Tea House (Kolour Tsuen Wan) 老馮茶居 (荃灣千色匯),Below $50,3535,24,6,Hong Kong Style,Tsuen Wan,49,0,3,0,Cash,0,"4-min walk from Exit B1, Tsuen Wan MTR Station",3,3,3,3,3,15
Antoshimo Cafe & Bakery (愉景新城),$51-100,3133,35,8,Japanese,Tsuen Wan,81,0,,,,,,,,,,,
KoBaNe by Minimal,$101-200,1442,26,0,Japanese,Tsuen Wan,31,0,,,,,,,,,,,
魚?魚湯專門店,Below $50,6141,219,62,Hong Kong Style,Tsuen Wan,442,0,1,30,Cash,"Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Phone Reservation,Delivery,10% Service Charge","6-min walk from Exit A1, Tsuen Wan MTR Station",3,2,3,2,3,13
YUE CHUAN ?川,$101-200,3088,22,0,Sichuan,Tsuen Wan,37,0,1,160,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,WeChat Pay","Online Reservation,Alcoholic Drinks,May Bring Your Own Wine,Parking,Reward Dining Points,Delivery,10% Service Charge,TV Broadcast,Spot payment","10-min walk from Exit B, Tai Wo Hau MTR Station",4,4,4,4,3,19
JEJU BULGOGI 濟州燒肉食堂,$101-200,29520,495,15,Korean,North Point,584,0,2,0,"Visa,Master,Cash,UnionPay,Apple Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Delivery,10% Service Charge","2-min walk from Exit A1, North Point MTR Station",4,4,4,4,4,20
Big Boils Club 滾得囍宮廷火鍋小炒,$201-400,24100,796,11,Guangdong,North Point,863,0,1,100,"Visa,Master,AlipayHK,Alipay,Cash,OpenRice Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,VIP Room,Phone Reservation,10% Service Charge,Spot payment","2-min walk from Exit A2, North Point MTR Station",4,4,4,4,3,19
The Farmhouse 咖啡廳,$201-400,35202,289,45,International,North Point,462,Best Eastern,1,270,"Visa,Master,AlipayHK,Cash,AE,UnionPay,JCB,WeChat Pay","Online Reservation,Alcoholic Drinks,Phone Reservation,Reward Dining Points,Delivery,10% Service Charge,Sea View,Outdoor Seating","2-min walk from Exit A1, North Point MTR Station",3,4,4,4,3,18
Fisholic (Victor Court) 魚事者 (威德閣),Below $50,9978,207,2,International,North Point,246,0,3,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,AE,UnionPay,JCB,Apple Pay,Google Pay,WeChat Pay,OpenRice Pay,FPS, PayMe","Online Reservation,Wi-Fi,Alcoholic Drinks,Cake-cutting,Phone Reservation,Reward Dining Points,Spot payment","4-min walk from Exit A, Fortress Hill MTR Station",4,4,4,4,4,20
Gwing Kee Restaurant (Mary Court) 炯記餐室 (美麗閣),Below $50,3719,191,6,Hong Kong Style,North Point,221,0,5,0,"AlipayHK,Alipay,Cash",Spot payment,"4-min walk from Exit B1, North Point MTR Station",4,4,4,4,4,20
Cruise Restaurant & Bar,$201-400,21636,148,6,International,North Point,193,0,1,189,"Visa,Master,AlipayHK,Cash,AE,UnionPay,JCB,WeChat Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,VIP Room,Parking,Phone Reservation,Reward Dining Points,Delivery,10% Service Charge,Sea View,Live Music,Outdoor Seating,Live Sports Broadcast","2-min walk from Exit A1, North Point MTR Station",4,4,4,4,3,19
Villa Villa,$101-200,28726,371,11,Western,North Point,467,0,1,0,"Visa,Master,AlipayHK,Alipay,Cash","Online Reservation,Alcoholic Drinks,Cake-cutting,Parking,Phone Reservation,Reward Dining Points,10% Service Charge,Spot payment","2-min walk from Exit B4, North Point MTR Station",4,3,4,4,3,18
Briketenia,$201-400,8841,169,5,French,North Point,194,0,2,0,"Visa,Master,Cash,AE,UnionPay","Online Reservation,Phone Reservation,Reward Dining Points,10% Service Charge","2-min walk from Exit A1, North Point MTR Station",4,4,4,4,4,20
Chaology 茶東西,Below $50,4602,170,5,Hong Kong Style,North Point,219,0,1,0,"AlipayHK,Alipay,Cash",Spot payment,"3-min walk from Exit A, Fortress Hill MTR Station",4,4,3,4,4,19
Kaya Singapore Casual Dining 咖?,$51-100,4364,149,15,Singaporean,North Point,196,0,3,0,"Visa,Master,Cash,Octopus",0,"2-min walk from Exit A1, North Point MTR Station",4,4,4,4,3,19
Orange Elephant Thai Restaurant (和富),$101-200,5903,235,11,Thai,North Point,286,0,3,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus",Spot payment,"7-min walk from Exit B, Fortress Hill MTR Station",4,4,4,4,4,20
TieHuaCun (TRP Commercial Centre) 鐵花村 (愛群商業中心),$51-100,5837,135,0,Taiwan,North Point,153,0,1,20,"AlipayHK,Alipay,Cash,Octopus","Alcoholic Drinks,Phone Reservation,10% Service Charge,TV Broadcast,Spot payment","3-min walk from Exit B4, North Point MTR Station",4,4,4,4,4,20
四寶食堂,$51-100,1587,113,4,Hong Kong Style,North Point,137,0,4,0,"Cash,Octopus",0,"2-min walk from Exit B, Fortress Hill MTR Station",4,4,4,4,4,20
Fook Yuen 福元湯圓,Below $50,19110,322,13,Hong Kong Style,North Point,439,0,1,20,Cash,"Phone Reservation,TV Broadcast","2-min walk from Exit B, Fortress Hill MTR Station",4,3,3,3,3,16
Pause It,$51-100,10443,128,1,Western,North Point,168,0,2,0,"Visa,Master,Cash,Octopus,AE,UnionPay,Apple Pay,Google Pay","Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Delivery,10% Service Charge","3-min walk from Exit A, Fortress Hill MTR Station",4,4,4,4,3,19
野郎Stone Ya Rou Stone,$101-200,3029,133,0,Japanese,North Point,138,0,1,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,AE,UnionPay,JCB,Apple Pay,Google Pay,WeChat Pay",Spot payment,"2-min walk from Exit A1, North Point MTR Station",4,4,4,4,4,20
Cocopig Hainanese Chicken (Po Wing Building) 可可豬海南雞專門店 (寶榮大廈),$51-100,4903,174,2,Singaporean,North Point,185,0,2,0,"AlipayHK,Alipay,Cash,Octopus,OpenRice Pay","Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Delivery,10% Service Charge,Spot payment","5-min walk from Exit A, Fortress Hill MTR Station",4,4,4,4,4,20
Mango Mania,Below $50,7838,195,4,Thai,North Point,233,0,1,0,"Visa,Master,AlipayHK,Cash,WeChat Pay",10% Service Charge,"7-min walk from Exit B, Fortress Hill MTR Station",4,4,4,4,4,20
Machiya 九町屋,$51-100,3474,113,0,Japanese,North Point,123,0,1,0,"AlipayHK,Alipay,Cash,Octopus,WeChat Pay","Online Reservation,Alcoholic Drinks,Reward Dining Points,Delivery,10% Service Charge,Outdoor Seating,Exclusive Online Booking,Spot payment","5-min walk from Exit A, Fortress Hill MTR Station",4,4,4,4,4,20
小巷弄,$51-100,3708,129,9,Taiwan,North Point,168,0,1,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,WeChat Pay",Spot payment,"2-min walk from Exit A1, North Point MTR Station",4,4,4,4,4,20
Sandaime (Island Place) 三代目 (港運城),$101-200,4627,146,9,Japanese,North Point,179,0,3,0,"Visa,Master,AlipayHK,Alipay,Cash,AE,UnionPay,Apple Pay,Google Pay,WeChat Pay,OpenRice Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,Parking,Phone Reservation,Reward Dining Points,10% Service Charge,Spot payment","Exit B3, North Point MTR Station",4,4,4,4,3,19
Ancient Moon 古月,$51-100,21679,187,19,Singaporean,North Point,313,0,,,,,,,,,,,
Ryuo Japanese Cuisine ?王居酒屋,$201-400,4498,162,4,"Asia Miles can be earned on eligible transactions of up to HKD10,000.",North Point,185,0,1,0,"Visa,Master,AlipayHK,Alipay,Cash,AE,UnionPay,Apple Pay,WeChat Pay,OpenRice Pay","Online Reservation,Alcoholic Drinks,VIP Room,Phone Reservation,Reward Dining Points,10% Service Charge,Exclusive Online Booking,Spot payment","5-min walk from Exit A1, North Point MTR Station",4,4,4,4,4,20
Kam Lok Hin Chicken & Fish Pot 金樂軒雞煲魚鍋,$101-200,9237,297,3,Sichuan,North Point,325,0,1,0,"Visa,AlipayHK,Alipay,Cash,Octopus,OpenRice Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,VIP Room,Phone Reservation,Reward Dining Points,10% Service Charge,Sea View,TV Broadcast,Spot payment","4-min walk from Exit A1, North Point MTR Station",4,3,4,4,4,19
Le 188° Restaurant & Lounge Le 188° 餐廳及酒廊,$401-800,15450,143,21,"Asia Miles can be earned on eligible transactions of up to HKD10,000.",North Point,240,0,1,0,"Visa,Master,AlipayHK,Alipay,Cash,UnionPay,OpenRice Pay","Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,Parking,Phone Reservation,10% Service Charge,Sea View,Outdoor Seating,Spot payment","Exit A, Fortress Hill MTR Station",3,4,4,4,3,18
INSANE,$51-100,2370,80,0,Western,North Point,83,0,1,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,AE,UnionPay,Apple Pay,WeChat Pay","Alcoholic Drinks,Parking,Delivery,10% Service Charge","7-min walk from Exit A1, North Point MTR Station",4,4,4,4,4,20
Tamago-EN (Harbour North) ???園 (北角匯),$101-200,4840,128,7,Japanese,North Point,169,0,6,60,"Visa,Master,AlipayHK,Alipay,Cash,Octopus","Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,Phone Reservation,Delivery,10% Service Charge,Spot payment","2-min walk from Exit A1, North Point MTR Station",4,4,4,4,3,19
Tulsi Indian Restaurant (Tsat Tsz Mui Road) 羅勒印度餐廳 (七姊妹道),$101-200,10586,297,13,Indian,North Point,362,0,3,58,"Visa,Master,AlipayHK,Alipay,Cash,AE","Online Reservation,Alcoholic Drinks,Cake-cutting,Phone Reservation,Reward Dining Points,Delivery,10% Service Charge,Spot payment","1-min walk from Exit B4, North Point MTR Station",3,3,3,3,3,15
Angus Cafe 半島冰室,Below $50,12302,128,3,Hong Kong Style,North Point,181,0,1,40,"AlipayHK,Alipay,Cash,Octopus","Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Delivery,10% Service Charge,TV Broadcast,Spot payment","5-min walk from Exit A, Fortress Hill MTR Station",4,3,3,3,4,17
Gyu Gyu Shabu Shabu (Harbour North Phase 2) 牛牛日式火鍋放題 (北角匯2期),$101-200,5721,204,3,Japanese,North Point,241,0,2,108,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,UnionPay,Apple Pay,Google Pay,WeChat Pay","Online Reservation,May Bring Your Own Wine,Cake-cutting,Reward Dining Points,Delivery,10% Service Charge,Spot payment","2-min walk from Exit A1, North Point MTR Station",4,4,4,4,4,20
Little Town 小城鎮,$51-100,5797,203,6,Western,North Point,240,0,1,50,"AlipayHK,Alipay,Cash,OpenRice Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,Parking,Phone Reservation,Reward Dining Points,10% Service Charge,Spot payment","3-min walk from Exit B1, North Point MTR Station",3,4,4,4,4,19
The Fish House 漁舍酸菜魚,$51-100,3271,137,5,Sichuan,North Point,168,0,1,80,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,Apple Pay,Google Pay,WeChat Pay","Online Reservation,Wi-Fi,May Bring Your Own Wine,Cake-cutting,Reward Dining Points,Delivery,10% Service Charge,Spot payment","2-min walk from Exit A1, North Point MTR Station",4,4,4,4,4,20
Artistry Brewing Company,$51-100,17307,74,12,International,North Point,151,0,1,0,"Visa,Master,AlipayHK,Cash,UnionPay,Apple Pay,WeChat Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,Parking,Phone Reservation,Reward Dining Points,Delivery,10% Service Charge,Outdoor Seating,Exclusive Online Booking","3-min walk from Exit B4, North Point MTR Station",3,4,3,3,3,16
LITM 活,$101-200,6315,250,6,Western,North Point,272,0,1,40,"Visa,Master,AlipayHK,Alipay,Cash,AE,UnionPay,JCB,Apple Pay,Google Pay,WeChat Pay,OpenRice Pay","Online Reservation,Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,Parking,Reward Dining Points,10% Service Charge,Sea View,Spot payment","2-min walk from Exit A1, North Point MTR Station",4,4,4,4,4,20
Eve Bistro 夏娃,$101-200,10360,142,14,German,North Point,196,0,1,50,"Visa,Master,AlipayHK,Alipay,Cash,AE,UnionPay,OpenRice Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,Cake-cutting,Parking,Phone Reservation,Reward Dining Points,10% Service Charge,Spot payment","4-min walk from Exit A1, North Point MTR Station",4,3,4,4,4,19
Katsuisen 活一鮮,$101-200,11621,145,5,Japanese,North Point,198,0,3,30,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,AE,UnionPay,Payme","Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,Phone Reservation,Delivery,Catering Service,10% Service Charge,Spot payment","2-min walk from Exit B1, North Point MTR Station",4,3,4,4,4,19
Congee Wonderland 知粥嘗樂,Below $50,1768,97,16,Hong Kong Style,North Point,156,0,1,75,"AlipayHK,Alipay,Cash","Alcoholic Drinks,Phone Reservation,Delivery,10% Service Charge,TV Broadcast,Spot payment","2-min walk from Exit B, Fortress Hill MTR Station",3,3,3,3,3,15
Ren Ren Heping Restaurant 人人和平小飯店,$101-200,13282,88,12,Guangdong,North Point,164,0,1,70,"Visa,Master,Cash,UnionPay,Apple Pay,Google Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,Phone Reservation,Reward Dining Points,Delivery,10% Service Charge,TV Broadcast","5-min walk from Exit B, Fortress Hill MTR Station",3,3,3,3,3,15
"Giovanni Pina Ristorante, Bar & Pasticceria",$201-400,3188,113,1,"Asia Miles can be earned on eligible transactions of up to HKD10,000.",North Point,121,0,4,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,UnionPay,OpenRice Pay",Spot payment,"2-min walk from Exit A1, North Point MTR Station",4,4,4,4,4,20
冰室99,$51-100,893,95,6,Hong Kong Style,North Point,119,0,1,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,Apple Pay,Google Pay,WeChat Pay","Online Reservation,Alcoholic Drinks,Cake-cutting,Phone Reservation,Reward Dining Points,Outdoor Seating","7-min walk from Exit B, Fortress Hill MTR Station",4,4,4,4,4,20
Hak Po Alley (Merlin Garden) 黑布小巷 (木蘭苑),Below $50,2590,71,0,Hong Kong Style,North Point,75,0,2,0,"AlipayHK,Alipay,Cash,Octopus","Delivery,Spot payment","4-min walk from Exit A, Fortress Hill MTR Station",4,4,4,4,4,20
Harbour Grand Caf?,$401-800,28981,213,60,"Asia Miles can be earned on eligible transactions of up to HKD10,000.",North Point,388,0,1,256,"Visa,Master,AlipayHK,Alipay,Cash,AE,OpenRice Pay","Wi-Fi,Alcoholic Drinks,Cake-cutting,Parking,Phone Reservation,10% Service Charge,Sea View,Spot payment","Exit A, Fortress Hill MTR Station",3,3,3,3,3,15
The Cosmopolitan (Wharf Road) 鍋心粥底火鍋 (和富道),$101-200,8113,78,5,Guangdong,North Point,116,0,5,0,"Visa,Master,Cash","Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Phone Reservation,Delivery,10% Service Charge","4-min walk from Exit A1, North Point MTR Station",4,3,3,3,4,17
Jubilee 歡喜,$101-200,2151,67,4,International,North Point,88,0,1,0,"AlipayHK,Alipay,Cash,Octopus","Online Reservation,Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,Phone Reservation,Reward Dining Points,Delivery,10% Service Charge,Spot payment","2-min walk from Exit A1, North Point MTR Station",4,4,4,4,4,20
Dear Grey,$101-200,2099,65,2,Western,North Point,73,0,1,0,"Visa,Master,Cash,Octopus,AE","Online Reservation,Phone Reservation,Reward Dining Points,10% Service Charge,Outdoor Seating","2-min walk from Exit B4, North Point MTR Station",4,4,4,4,4,20
Tai Yuen Lou 太元樓,$101-200,6652,193,2,Guangdong,North Point,233,0,1,300,"Visa,Master,Alipay,Cash,AE","Online Reservation,Cake-cutting,VIP Room,Parking,Phone Reservation,10% Service Charge,Exclusive Online Booking","6-min walk from Exit B, Fortress Hill MTR Station",4,4,4,4,4,20
麥記美食,Below $50,16520,119,9,Hong Kong Style,North Point,187,0,2,20,Cash,"Phone Reservation,Outdoor Seating","5-min walk from Exit B1, North Point MTR Station",3,2,3,3,4,15
Hiro Omakase 鮨宏,Above $801,2323,55,0,Japanese,North Point,55,0,1,0,"Visa,Master,AlipayHK,Cash,Octopus,AE,UnionPay,WeChat Pay","Online Reservation,Phone Reservation,10% Service Charge","6-min walk from Exit B, Fortress Hill MTR Station",4,4,4,4,4,20
Jake n' me Bakery 初麥手作烘焙,Below $50,4729,42,1,Hong Kong Style,North Point,64,0,1,0,Cash,0,"3-min walk from Exit B1, North Point MTR Station",4,3,3,3,4,17
Coffee + Space 咖啡空間,$51-100,3270,102,2,International,North Point,118,0,1,0,"Cash,Octopus","Online Reservation,Wi-Fi,Phone Reservation,Reward Dining Points,Live Music,TV Broadcast","4-min walk from Exit B, Fortress Hill MTR Station",4,4,4,4,4,20
Weeds Gelato & Coffee 野草,$51-100,5926,50,0,Western,North Point,72,0,1,0,"Visa,Master,Cash,Octopus,Apple Pay,Google Pay,Payme",0,"6-min walk from Exit A1, North Point MTR Station",4,4,4,4,3,19
Love Rice Noodle (Maylun Apartments) 愛上米線 (美輪大廈),$51-100,903,66,8,Hong Kong Style,North Point,90,0,5,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,AE,UnionPay,JCB,WeChat Pay,OpenRice Pay",Spot payment,"1-min walk from Exit B4, North Point MTR Station",4,4,4,4,3,19
Mom's Dry Noodles (Harbour North) 老媽拌麵 (北角匯),$51-100,2453,54,5,Taiwan,North Point,80,0,6,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,AE,UnionPay,JCB,Apple Pay,Google Pay,WeChat Pay,OpenRice Pay","Online Reservation,Reward Dining Points,10% Service Charge,Exclusive Online Booking,Spot payment","2-min walk from Exit A1, North Point MTR Station",3,4,3,4,3,17
Jiu Fen Full (KP Tower) 九份飽 (錦平中心),$51-100,5540,46,1,Taiwan,North Point,64,0,3,0,"AlipayHK,Alipay,Cash",Spot payment,"4-min walk from Exit A, Fortress Hill MTR Station",4,4,4,4,4,20
祥發茶餐小廚,Below $50,10207,141,5,Hong Kong Style,North Point,226,0,1,0,"AlipayHK,Alipay,Cash,Octopus","Delivery,10% Service Charge,Spot payment","2-min walk from Exit B4, North Point MTR Station",4,3,3,3,4,17
NAGE Taiwanese Cuisine 那個ㄋㄚˋ ㄍㄜ˙,$51-100,4963,49,5,Taiwan,North Point,82,0,2,0,Cash,"Alcoholic Drinks,10% Service Charge","3-min walk from Exit B1, North Point MTR Station",4,3,3,3,3,16
GOTTHARD BASE Restaurant & Lounge,$201-400,9805,49,1,International,North Point,63,0,1,0,"Visa,Master,Cash","Online Reservation,Phone Reservation,Reward Dining Points,10% Service Charge","5-min walk from Exit B, Fortress Hill MTR Station",4,4,4,4,3,19
Cafe A 歷山餐廳,$201-400,6369,76,29,International,North Point,161,0,1,108,"Visa,Master,AlipayHK,Cash,Octopus,AE,Apple Pay,WeChat Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,Parking,Phone Reservation,Reward Dining Points,10% Service Charge","2-min walk from Exit B, Fortress Hill MTR Station",3,4,4,4,3,18
Beef Noodles 青藏牛肉麵,$51-100,10896,142,15,Xinjiang,North Point,264,0,1,0,Cash,"Wi-Fi,Alcoholic Drinks,Delivery,10% Service Charge,Outdoor Seating","3-min walk from Exit B4, North Point MTR Station; 書局街入",3,3,3,3,3,15
Korean Inn Restaurant 高麗軒韓國餐廳,$201-400,3693,54,3,Korean,North Point,70,0,1,0,"Visa,Master,AlipayHK,Cash,AE,UnionPay,Apple Pay,Google Pay,WeChat Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,VIP Room,Phone Reservation,Exclusive Online Booking","7-min walk from Exit B, Fortress Hill MTR Station",4,4,4,4,4,20
Tai O Tak Fat 大澳德發,$51-100,3659,117,3,Hong Kong Style,North Point,148,0,2,0,"AlipayHK,Alipay,Cash,Octopus",Spot payment,"2-min walk from Exit A, Fortress Hill MTR Station",4,4,4,4,4,20
Chop Chop 食神叉燒 (宏安道),$51-100,9183,131,20,Hong Kong Style,North Point,224,0,1,0,"AlipayHK,Alipay,Cash,Octopus,UnionPay,OpenRice Pay",Spot payment,"4-min walk from Exit A, Fortress Hill MTR Station",3,3,3,3,3,15
Twelve Flavors (Wharf Road) 十二味 (和富道),$101-200,6769,133,2,Sichuan,North Point,164,0,24,0,"Visa,Master,AlipayHK,Alipay,Cash,UnionPay,WeChat Pay","Online Reservation,Alcoholic Drinks,May Bring Your Own Wine,Reward Dining Points,10% Service Charge,Spot payment","7-min walk from Exit B, Fortress Hill MTR Station",4,4,4,4,4,20
FRITES Belgium on Tap (港匯東),$201-400,9265,37,2,Belgian,North Point,49,0,8,110,"Visa,Master,Cash,AE,UnionPay","Online Reservation,May Bring Your Own Wine,Cake-cutting,Live Sports Broadcast","2-min walk from Exit A, Fortress Hill MTR Station",4,4,4,4,3,19
On The Hill Coffee Bar (北角匯),Below $50,4288,39,5,Western,North Point,78,0,3,0,"Cash,Octopus",0,"2-min walk from Exit A1, North Point MTR Station",3,3,3,3,3,15
六合小巷,$51-100,2113,64,2,Taiwan,North Point,68,0,1,40,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,OpenRice Pay","Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Delivery,10% Service Charge,Spot payment","5-min walk from Exit B, Fortress Hill MTR Station",4,4,4,4,4,20
Nakitora Ramen (Harbour North) 鳴虎 (北角匯),$51-100,400,49,3,Japanese,North Point,54,0,8,0,"AlipayHK,Alipay",Spot payment,"2-min walk from Exit A1, North Point MTR Station",4,4,4,4,4,20
AKinna Bar & Restaurant 娜吧,$101-200,1174,68,0,International,North Point,70,0,1,0,"Visa,Master,AlipayHK,Alipay,Cash,AE,UnionPay,Apple Pay,WeChat Pay","Alcoholic Drinks,Parking,Phone Reservation,TV Broadcast,Spot payment","4-min walk from Exit A, Fortress Hill MTR Station",4,4,4,4,4,20
Kwan Cheuk Heen 君綽軒,$201-400,5402,84,4,"Asia Miles can be earned on eligible transactions of up to HKD10,000.",North Point,131,0,1,0,"Visa,Master,AlipayHK,Alipay,Cash,AE,OpenRice Pay","Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,VIP Room,Parking,Phone Reservation,10% Service Charge,Sea View,TV Broadcast,Spot payment","Exit A, Fortress Hill MTR Station",4,4,4,4,3,19
Mitsubaya 三葉屋,$101-200,6321,63,3,Japanese,North Point,89,0,1,0,"Visa,Master,Cash",10% Service Charge,"4-min walk from Exit A, Fortress Hill MTR Station",4,4,4,4,3,19
Hotpot Instinct 本色鍋品料理,$201-400,2931,115,0,Hong Kong Style,North Point,127,0,2,180,"Visa,Master,AlipayHK,Alipay,Cash","Online Reservation,Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,VIP Room,Phone Reservation,Reward Dining Points,Delivery,10% Service Charge,TV Broadcast,Exclusive Online Booking,Spot payment","3-min walk from Exit B4, North Point MTR Station",4,4,4,4,4,20
Tonton Shokudo 豚豚食堂,$51-100,1530,63,7,Japanese,North Point,108,0,2,0,"Visa,Master,Cash,UnionPay,Apple Pay,Google Pay",10% Service Charge,"2-min walk from Exit A1, North Point MTR Station",3,3,3,3,3,15
Tai Ping Kitchen 太平飯店,$101-200,7984,102,10,Chiu Chow,North Point,156,0,1,48,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,AE,UnionPay","Online Reservation,Wi-Fi,May Bring Your Own Wine,Parking,Phone Reservation,Reward Dining Points,Delivery,10% Service Charge,Spot payment","1-min walk from Exit A1, North Point MTR Station",3,3,3,3,3,15
DPD Deluxe,$101-200,2415,37,5,Hong Kong Style,North Point,77,0,1,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,UnionPay,JCB,WeChat Pay","Wi-Fi,Alcoholic Drinks,10% Service Charge,Spot payment","3-min walk from Exit A, Fortress Hill MTR Station",3,4,3,3,3,16
富景清香麵家,Below $50,396,36,0,Hong Kong Style,North Point,40,0,2,0,0,0,"1-min walk from Exit A1, North Point MTR Station",4,4,4,4,4,20
Studio Caffeine,$51-100,2719,33,2,International,North Point,42,0,,,,,,,,,,,
Cafe 66 陸拾六,$51-100,5148,56,8,Western,North Point,110,0,,,,,,,,,,,
All Day Chicken Lab 全日雞實驗所,$51-100,5251,29,0,Singaporean,North Point,41,0,,,,,,,,,,,
Chiu Chow Delicacies (Wharf Road) 潮樂園 (和富道),$101-200,12728,183,15,Chiu Chow,North Point,250,0,,,,,,,,,,,
Yi Pin Prawn 一品活蝦,$201-400,3428,41,0,Taiwan,North Point,47,0,,,,,,,,,,,
養生糊甜品專門店,Below $50,4000,57,0,Hong Kong Style,North Point,67,0,,,,,,,,,,,
Kowloon Hum Spicy Hot Pot Restaurant 九龍坎麻辣火鍋,$201-400,5974,30,2,Sichuan,North Point,56,0,,,,,,,,,,,
Harbourview Grill (北角匯),$201-400,5371,29,3,Italian,North Point,44,0,,,,,,,,,,,
Lok Yuen (Electric Road) 樂園魚旦專家 (電氣道),Below $50,522,41,1,Hong Kong Style,North Point,46,0,,,,,,,,,,,
TENKAIYA 天海家草庵,$101-200,7596,31,5,Japanese,North Point,67,0,,,,,,,,,,,
Kyukyoku Do 究極堂,$101-200,5217,28,3,Japanese,North Point,49,0,,,,,,,,,,,
Ahimsa Buffet (Fort Street) 無肉食 (堡壘街),$51-100,12950,69,6,Hong Kong Style,North Point,127,0,,,,,,,,,,,
Sticks & Fire,$101-200,256,38,1,Western,North Point,39,0,,,,,,,,,,,
上海小聚,$51-100,341,51,2,Shanghai,North Point,54,0,,,,,,,,,,,
Yakitori Tiger 六本·虎居,$201-400,2507,34,1,Japanese,North Point,41,0,1,0,"Visa,Master,Cash,AE,UnionPay,JCB,FPS & PAYME","Online Reservation,Wi-Fi,Alcoholic Drinks,Phone Reservation,Reward Dining Points,10% Service Charge","3-min walk from Exit A, Fortress Hill MTR Station",4,4,4,4,4,20
Coffee Obsession,Below $50,2865,29,0,Western,North Point,41,0,1,0,"Cash,Payme ",0,"2-min walk from Exit A, Fortress Hill MTR Station",4,4,4,4,3,19
Fung Shing Restaurant 鳳城酒家,$101-200,6571,143,22,Guangdong,North Point,235,0,1,200,"Visa,Master,Cash","Alcoholic Drinks,Phone Reservation,10% Service Charge,TV Broadcast","4-min walk from Exit A1, North Point MTR Station",3,3,3,3,3,15
Chiu Mei Kui 潮味居,$401-800,2607,43,0,Chiu Chow,North Point,43,0,1,0,0,0,"4-min walk from Exit A, Fortress Hill MTR Station",4,4,4,4,4,20
Dough Bros Pizza & Doughnuts (威德閣),$101-200,3317,22,1,Italian,North Point,25,0,11,0,"AlipayHK,Alipay,Cash",Spot payment,"4-min walk from Exit A, Fortress Hill MTR Station",4,3,4,4,3,18
